cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,cluster_size,member_queries,member_expected_answers,member_notes,threshold_used,masking_profile,block_key
82,Workorder,Equipment,Decision Support,prescriptive,Could you generate rules that help distinguish meaningful alerts from spurious ones?,could you generate rules that help distinguish meaningful alerts from spurious ones?,"Depends on the LLM utuilzied, the outcome could be 1) Real thredholds for meaning alert; or 2) the steps to generate such rules.  Develop rules or criteria to distinguish genuine alerts from spurious or false positives in operational monitoring.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['Could you generate rules that help distinguish meaningful alerts from spurious ones?'],"['Depends on the LLM utuilzied, the outcome could be 1) Real thredholds for meaning alert; or 2) the steps to generate such rules.  Develop rules or criteria to distinguish genuine alerts from spurious or false positives in operational monitoring.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
83,Workorder,Equipment,Decision Support,prescriptive,"Detect clusters of alerts and work orders on CWC04009 that signal elevated failure risk for the next planning cycle, guiding proactive maintenance budgeting.","detect clusters of alerts and work orders on cwc04009 that signal elevated failure risk for the next planning cycle, guiding proactive maintenance budgeting.",Apply time-series burst or clustering analysis to event_time for ALERT + WORK_ORDER events of CWC04009; flag dense clusters as high-risk periods for long-term budgeting.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Detect clusters of alerts and work orders on CWC04009 that signal elevated failure risk for the next planning cycle, guiding proactive maintenance budgeting.']",['Apply time-series burst or clustering analysis to event_time for ALERT + WORK_ORDER events of CWC04009; flag dense clusters as high-risk periods for long-term budgeting.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
84,Workorder,Equipment,Decision Support,predictive,"Rank alert descriptions for CWC04009 by how strongly they predict subsequent corrective work orders, supporting long-term failure-risk mitigation.","rank alert descriptions for cwc04009 by how strongly they predict subsequent corrective work orders, supporting long-term failure-risk mitigation.","For each alert description on CWC04009, compute the conditional probability that a CM WORK_ORDER follows within a set window; sort descriptions by predictive strength.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Rank alert descriptions for CWC04009 by how strongly they predict subsequent corrective work orders, supporting long-term failure-risk mitigation.']","['For each alert description on CWC04009, compute the conditional probability that a CM WORK_ORDER follows within a set window; sort descriptions by predictive strength.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
85,Workorder,Equipment,Decision Support,prescriptive,Examine whether the year-over-year increase in corrective maintenance for CWC04009 warrants shifting resources from annual repairs toward multi-year replacement planning.,examine whether the year-over-year increase in corrective maintenance for cwc04009 warrants shifting resources from annual repairs toward multi-year replacement planning.,"Plot CM WORK_ORDER counts per year for CWC04009, assess the upward trend, and recommend budget reallocation if growth is significant.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['Examine whether the year-over-year increase in corrective maintenance for CWC04009 warrants shifting resources from annual repairs toward multi-year replacement planning.'],"['Plot CM WORK_ORDER counts per year for CWC04009, assess the upward trend, and recommend budget reallocation if growth is significant.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
86,Workorder,Equipment,Decision Support,prescriptive,Measure typical time gaps between alerts and the corrective work orders they precede for CWC04009 to refine the life-cycle maintenance timeline.,measure typical time gaps between alerts and the corrective work orders they precede for cwc04009 to refine the life-cycle maintenance timeline.,"For each ALERT that is followed by a CM WORK_ORDER on CWC04009, calculate the time interval; summarise median, mean, and distribution to guide scheduling.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['Measure typical time gaps between alerts and the corrective work orders they precede for CWC04009 to refine the life-cycle maintenance timeline.'],"['For each ALERT that is followed by a CM WORK_ORDER on CWC04009, calculate the time interval; summarise median, mean, and distribution to guide scheduling.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
87,Workorder,Equipment,Decision Support,prescriptive,Quantify how often alerts and corrective work orders cluster together for CWC04009 to identify high-risk operational periods in the years ahead.,quantify how often alerts and corrective work orders cluster together for cwc04009 to identify high-risk operational periods in the years ahead.,Use rolling windows on event_time to count co-occurrences of ALERT and CM WORK_ORDER events for CWC04009; flag windows with elevated counts.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['Quantify how often alerts and corrective work orders cluster together for CWC04009 to identify high-risk operational periods in the years ahead.'],['Use rolling windows on event_time to count co-occurrences of ALERT and CM WORK_ORDER events for CWC04009; flag windows with elevated counts.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
88,Workorder,Equipment,Decision Support,prescriptive,Identify which alert descriptions for CWC04009 show the steepest upward trend and therefore require priority in the 10-year capital-planning roadmap.,identify which alert descriptions for cwc04009 show the steepest upward trend and therefore require priority in the 10-year capital-planning roadmap.,"Group ALERT events for CWC04009 by description, compute yearly counts, calculate trend slopes, and list the descriptions with the largest positive slopes.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['Identify which alert descriptions for CWC04009 show the steepest upward trend and therefore require priority in the 10-year capital-planning roadmap.'],"['Group ALERT events for CWC04009 by description, compute yearly counts, calculate trend slopes, and list the descriptions with the largest positive slopes.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
89,Workorder,Equipment,Decision Support,prescriptive,Determine which alert or work-order descriptions account for the highest event counts on CWC04009 and should therefore drive allocation of funds in the next 10-year capital budget.,determine which alert or work-order descriptions account for the highest event counts on cwc04009 and should therefore drive allocation of funds in the next 10-year capital budget.,"Aggregate ALERT and WORK_ORDER events for CWC04009 by description, rank by total count, and provide the top contributors as budget-prioritisation drivers.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['Determine which alert or work-order descriptions account for the highest event counts on CWC04009 and should therefore drive allocation of funds in the next 10-year capital budget.'],"['Aggregate ALERT and WORK_ORDER events for CWC04009 by description, rank by total count, and provide the top contributors as budget-prioritisation drivers.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Decision Support')"
90,Workorder,Equipment,Knowledge Query,retrospective,Get the work order of equipment CWC04013 for year 2017.,get the work order of equipment cwc04013 for year 2017.,"There will be 33 records. The expected response should retrieve all work orders for equipment CWC04013 in the year 2017, ensuring correct equipment ID and time filtering.",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['Get the work order of equipment CWC04013 for year 2017.'],"['There will be 33 records. The expected response should retrieve all work orders for equipment CWC04013 in the year 2017, ensuring correct equipment ID and time filtering.']",['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
91,Workorder,Equipment,Knowledge Query,retrospective,I would like to check the work order distribution for the equipment labeled as CWC04013 for the year 2017.,i would like to check the work order distribution for the equipment labeled as cwc04013 for the year 2017.,"Work order with primary Code MT010 occurred 3 times and code MT013 occurred once. The expected response should retrieve and summarize work orders by type or month for equipment CWC04013 during 2017, ensuring correct year and equipment filtering.",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['I would like to check the work order distribution for the equipment labeled as CWC04013 for the year 2017.'],"['Work order with primary Code MT010 occurred 3 times and code MT013 occurred once. The expected response should retrieve and summarize work orders by type or month for equipment CWC04013 during 2017, ensuring correct year and equipment filtering.']",['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
92,Workorder,Equipment,Knowledge Query,retrospective,I would like to retrieve the preventive work order details for the equipment labeled as CWC04013 for the year 2017.,i would like to retrieve the preventive work order details for the equipment labeled as cwc04013 for the year 2017.,"There are 31 preventive work orders for this utterance.  The expected response should retrieve preventive maintenance work orders for CWC04013 in 2017, correctly filtering by asset, preventive work order type and year.",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,2,"['I would like to retrieve the preventive work order details for the equipment labeled as CWC04013 for the year 2017.', 'I would like to retrieve the corrective work order details for the equipment labeled as CWC04013 for the year 2017.']","['There are 31 preventive work orders for this utterance.  The expected response should retrieve preventive maintenance work orders for CWC04013 in 2017, correctly filtering by asset, preventive work order type and year.', 'The output is two corrective work orders. The expected response should retrieve corrective maintenance work orders for CWC04013 during 2017, verifying correct work order type and year.']","['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query']",0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
93,Workorder,Equipment,Knowledge Query,retrospective,"Get the events of equipment CWC04009 for year 2019 and provide a summary based on the event group, such as work order event, alerts and anomaly events.","get the events of equipment cwc04009 for year 2019 and provide a summary based on the event group, such as work order event, alerts and anomaly events.","There are 14 work orders, 0 alert, and 0 anomaly. The expected response should retrieve all event types (work orders, alerts, anomalies) for CWC04009 in 2019 and summarize them by event group.",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,1,"['Get the events of equipment CWC04009 for year 2019 and provide a summary based on the event group, such as work order event, alerts and anomaly events.']","['There are 14 work orders, 0 alert, and 0 anomaly. The expected response should retrieve all event types (work orders, alerts, anomalies) for CWC04009 in 2019 and summarize them by event group.']",['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
94,Workorder,Equipment,Knowledge Query,retrospective,"Get all the events of equipment CWC04009 for the June of 2020 and provide a summary based on the event group for work order, alert, and anomaly.","get all the events of equipment cwc04009 for the june of 2020 and provide a summary based on the event group for work order, alert, and anomaly.","There are 3 work order events, 30 alert events, and 30 anomaly events.  The expected response should retrieve and summarize events (work order, alert, anomaly) for CWC04009 during June 2020, grouped correctly by event type and time range (June 2020).",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,2,"['Get all the events of equipment CWC04009 for the June of 2020 and provide a summary based on the event group for work order, alert, and anomaly.', 'Get all the events of equipment CWC04009 for the first week of June of 2020 and provide a summary based on the event group for work order event, alert, and anomaly.']","['There are 3 work order events, 30 alert events, and 30 anomaly events.  The expected response should retrieve and summarize events (work order, alert, anomaly) for CWC04009 during June 2020, grouped correctly by event type and time range (June 2020).', 'There are 6 alert records. The expected response should retrieve events for CWC04009 in the first week of June 2020 and group them by event type. verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly and work order), and time range - First week of May 2020.']","['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query']",0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
95,Workorder,Equipment,Knowledge Query,retrospective,Get the summary of the events of equipment CWC04009 for the June of 2020 and provide a summary based on the event group.,get the summary of the events of equipment cwc04009 for the june of 2020 and provide a summary based on the event group.,"There are 30 alerts, 30 anomalies, and 3 work orders. The expected response should summarize events of CWC04009 in June 2020 by event group, ensuring complete event retrieval and correct categorization/grouping (alert, anomalies, and work order).",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['Get the summary of the events of equipment CWC04009 for the June of 2020 and provide a summary based on the event group.'],"['There are 30 alerts, 30 anomalies, and 3 work orders. The expected response should summarize events of CWC04009 in June 2020 by event group, ensuring complete event retrieval and correct categorization/grouping (alert, anomalies, and work order).']",['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
96,Workorder,Equipment,Knowledge Query,retrospective,"Get the daily count of the events of alert, anomaly for 2021 for equipment CWC04009.","get the daily count of the events of alert, anomaly for 2021 for equipment cwc04009.","There are 82 days have events. The expected response should retrieve daily counts of alerts and anomalies for CWC04009 throughout 2021, verifying correct aggregation over time (daily) and filtering of asset, event type (alert), and year.",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,1,"['Get the daily count of the events of alert, anomaly for 2021 for equipment CWC04009.']","['There are 82 days have events. The expected response should retrieve daily counts of alerts and anomalies for CWC04009 throughout 2021, verifying correct aggregation over time (daily) and filtering of asset, event type (alert), and year.']",['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
97,Workorder,Equipment,Knowledge Query,retrospective,"Get the daily count of the events of alert, anomaly for the May 2020 for equipment CWC04009.","get the daily count of the events of alert, anomaly for the may 2020 for equipment cwc04009.","There are 26 days have events. The expected response should retrieve daily counts of alerts and anomalies for CWC04009 for May 2020, verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly), and time range - May 2020.",Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query,1,"['Get the daily count of the events of alert, anomaly for the May 2020 for equipment CWC04009.']","['There are 26 days have events. The expected response should retrieve daily counts of alerts and anomalies for CWC04009 for May 2020, verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly), and time range - May 2020.']",['Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
98,Workorder,Equipment,Knowledge Query,retrospective,"Get the daily count of alert, anomaly and work order event for the May 2020 for equipment CWC04009.","get the daily count of alert, anomaly and work order event for the may 2020 for equipment cwc04009.","There are 26 days with the records. Depending on the LLM used, the result could be daily total event summary or daily summary for each event type.  The expected response should retrieve and summarize daily counts of alerts, anomalies, and work order events for CWC04009 for May 2020, verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly and work order), and time range - May 2020.",We have both work order business data object and work order event as a group type in the event file. So we make a change of the utterance.,1,"['Get the daily count of alert, anomaly and work order event for the May 2020 for equipment CWC04009.']","['There are 26 days with the records. Depending on the LLM used, the result could be daily total event summary or daily summary for each event type.  The expected response should retrieve and summarize daily counts of alerts, anomalies, and work order events for CWC04009 for May 2020, verifying correct aggregation over time (daily) and filtering of asset, event type (alert, anomaly and work order), and time range - May 2020.']",['We have both work order business data object and work order event as a group type in the event file. So we make a change of the utterance.'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Knowledge Query')"
99,Workorder,Equipment,Prediction,predictive,I would like to predict the next work order probability for the equipment labeled as CWC04013.,i would like to predict the next work order probability for the equipment labeled as cwc04013.,The expected response should be able to identify the next likely work order for CWC04013 based on historical work order patterns.  It should be a list of work order with the probabilities (the summation of the probabilities should be one).,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction,1,['I would like to predict the next work order probability for the equipment labeled as CWC04013.'],['The expected response should be able to identify the next likely work order for CWC04013 based on historical work order patterns.  It should be a list of work order with the probabilities (the summation of the probabilities should be one).'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Prediction')"
100,Workorder,Equipment,Prediction,predictive,"Assuming that the current date is 2018-01-02, can you predict next work order probability for me for equipment CWC04009 using predict_next_work_order_probability function?","assuming that the current date is <date>, can you predict next work order probability for me for equipment cwc04009 using predict_next_work_order_probability function?","Freon Management (code MT012) under Maintenance and Routine Checks has a probability of 0.2. The output should have the probability for primary code.  For example, the highest probability of next work order.  The expected response should be able to use historical work order data up to 2018-01-02 for CWC04009 to identify or predict the next work order probability, ensuring no cutoff of results. More specific, It should be a list of work order with the probabilities (the summation of the probabilities should be one).",The output token size changed to 2000 to make sure there is no cut-off of the generated results.,2,"['Assuming that the current date is 2018-01-02, can you predict next work order probability for me for equipment CWC04009 using predict_next_work_order_probability function?', 'Assuming that the current date is 2018-01-02, can you predict next work order probability for me for equipment CWC04009?']","['Freon Management (code MT012) under Maintenance and Routine Checks has a probability of 0.2. The output should have the probability for primary code.  For example, the highest probability of next work order.  The expected response should be able to use historical work order data up to 2018-01-02 for CWC04009 to identify or predict the next work order probability, ensuring no cutoff of results. More specific, It should be a list of work order with the probabilities (the summation of the probabilities should be one).', 'Failure codes MT012, MT008, and M013 each have a probability of 0.2. It will predict the next work order probability for CWC04009 using available data up to 2018-01-02.  The expected response should be able to use historical work order data up to 2018-01-02 for CWC04009 to identify or predict the next work order probability, ensuring no cutoff of results. More specific, It should be a list of work order with the probabilities (the summation of the probabilities should be one).']","['The output token size changed to 2000 to make sure there is no cut-off of the generated results.', 'Source: Maintenance operations; Deterministic query with single correct answer; Category: Prediction']",0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Prediction')"
101,Workorder,Equipment,Prediction,retrospective;predictive;prescriptive,Build a predictive model from historical alerts and work orders of CWC04009 to forecast failures and replacement needs over the forthcoming 10-year horizon.,build a predictive model from historical alerts and work orders of cwc04009 to forecast failures and replacement needs over the forthcoming 10-year horizon.,"Leverage ALERT and WORK_ORDER records (features: description, event_group, event_category, event_time) for CWC04009 to train and validate a model that predicts the likelihood and timing of future failures or required replacements.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction,1,['Build a predictive model from historical alerts and work orders of CWC04009 to forecast failures and replacement needs over the forthcoming 10-year horizon.'],"['Leverage ALERT and WORK_ORDER records (features: description, event_group, event_category, event_time) for CWC04009 to train and validate a model that predicts the likelihood and timing of future failures or required replacements.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Prediction')"
102,Workorder,Equipment,Prediction,predictive,Analyse sequences where alerts precede corrective work orders on CWC04009 to improve failure anticipation over the asset’s remaining life-cycle.,analyse sequences where alerts precede corrective work orders on cwc04009 to improve failure anticipation over the asset’s remaining life-cycle.,"Identify ALERT → CM WORK_ORDER pairs for CWC04009, measure lead-lag intervals, and summarise patterns that can inform proactive scheduling.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction,1,['Analyse sequences where alerts precede corrective work orders on CWC04009 to improve failure anticipation over the asset’s remaining life-cycle.'],"['Identify ALERT → CM WORK_ORDER pairs for CWC04009, measure lead-lag intervals, and summarise patterns that can inform proactive scheduling.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Prediction')"
103,Workorder,Equipment,Prediction,predictive,"Using historical counts, project how many preventive (PM) and corrective (CM) work orders each major description category is likely to generate for CWC04009 over the coming decade.","using historical counts, project how many preventive (pm) and corrective (cm) work orders each major description category is likely to generate for cwc04009 over the coming decade.",Aggregate yearly PM and CM WORK_ORDER counts for CWC04009 by description and extrapolate future volumes with a simple trend or time-series model.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction,1,"['Using historical counts, project how many preventive (PM) and corrective (CM) work orders each major description category is likely to generate for CWC04009 over the coming decade.']",['Aggregate yearly PM and CM WORK_ORDER counts for CWC04009 by description and extrapolate future volumes with a simple trend or time-series model.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Prediction')"
104,Workorder,Equipment,Prediction,predictive,"Determine which alert or work-order descriptions for CWC04009 exhibit the fastest growth trend, indicating components that may need early replacement in the life-cycle plan.","determine which alert or work-order descriptions for cwc04009 exhibit the fastest growth trend, indicating components that may need early replacement in the life-cycle plan.",Compute year-over-year growth rates of event counts by description for CWC04009; highlight those with the steepest increases.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction,1,"['Determine which alert or work-order descriptions for CWC04009 exhibit the fastest growth trend, indicating components that may need early replacement in the life-cycle plan.']",['Compute year-over-year growth rates of event counts by description for CWC04009; highlight those with the steepest increases.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Equipment', 'Prediction')"
105,multiagent,Chiller,Knowledge Query,predictive,Is there any anomaly detected in Chiller 6's Tonnage in the week of 2020-04-27 at the MAIN site?,is there any anomaly detected in chiller 6's tonnage in the week of <date> at the <site> site?,"The expected response should confirm the successful execution of all required actions while ensuring the correct variables, including the asset (Chiller 6), location (MAIN), and time range (week of 2020-04-27), were used for data retrieval and analysis. It should specify that IoTAgent was called to request and download the data, and TSFMAgent was properly utilized to perform Time Series anomaly detection on the Tonnage parameter. The response must also verify that the data was accurately stored in the designated file location, and that the analysis results were saved to a new file. Additionally, the response should explicitly confirm the detection of anomalies in Chiller 6's Tonnage during the specified timeframe at the MAIN site, as these anomalies were anticipated.",Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query,1,"[""Is there any anomaly detected in Chiller 6's Tonnage in the week of 2020-04-27 at the MAIN site?""]","[""The expected response should confirm the successful execution of all required actions while ensuring the correct variables, including the asset (Chiller 6), location (MAIN), and time range (week of 2020-04-27), were used for data retrieval and analysis. It should specify that IoTAgent was called to request and download the data, and TSFMAgent was properly utilized to perform Time Series anomaly detection on the Tonnage parameter. The response must also verify that the data was accurately stored in the designated file location, and that the analysis results were saved to a new file. Additionally, the response should explicitly confirm the detection of anomalies in Chiller 6's Tonnage during the specified timeframe at the MAIN site, as these anomalies were anticipated.""]",['Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('multiagent', 'Chiller', 'Knowledge Query')"
106,multiagent,Chiller,Knowledge Query,predictive,What is the forecast for 'Chiller 9 Condenser Water Flow' in the week of 2020-04-27 based on data from the MAIN site?,what is the forecast for 'chiller 9 condenser water flow' in the week of <date> based on data at the <site> site?,"The expected response should confirm the successful execution of all required actions, ensuring that the correct variables, including the asset ('Chiller 9'), location (MAIN), and time range (week of 2020-04-27), were used for data retrieval and analysis. It should specify that the agent identified the sensors for the asset and site, then located the specific sensor, 'Chiller 9 Condenser Water Flow'. The response must confirm that the agent retrieved the time-series data for this sensor within the specified timeframe and provided the correct file path where the data is stored. Additionally, the response should verify that TSFMAgent was called to analyze the data and perform forecasting using the specified model checkpoint 'ttm_96_28'. The response should confirm that the agent successfully read the JSON file, performed the time-series forecasting, and stored the results in the designated file path.",Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query,1,"[""What is the forecast for 'Chiller 9 Condenser Water Flow' in the week of 2020-04-27 based on data from the MAIN site?""]","[""The expected response should confirm the successful execution of all required actions, ensuring that the correct variables, including the asset ('Chiller 9'), location (MAIN), and time range (week of 2020-04-27), were used for data retrieval and analysis. It should specify that the agent identified the sensors for the asset and site, then located the specific sensor, 'Chiller 9 Condenser Water Flow'. The response must confirm that the agent retrieved the time-series data for this sensor within the specified timeframe and provided the correct file path where the data is stored. Additionally, the response should verify that TSFMAgent was called to analyze the data and perform forecasting using the specified model checkpoint 'ttm_96_28'. The response should confirm that the agent successfully read the JSON file, performed the time-series forecasting, and stored the results in the designated file path.""]",['Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('multiagent', 'Chiller', 'Knowledge Query')"
107,multiagent,Chiller,Knowledge Query,retrospective,Have there been any anomalies in Chiller 6's Tonnage in the week of 2020-04-27 at MAIN?,have there been any anomalies in chiller 6's tonnage in the week of <date> at main?,"The expected response should confirm the successful execution of all required actions, ensuring that the correct variables, including the asset ('Chiller 6'), location (MAIN), and time range (week of 2020-04-27), were used for data retrieval and analysis. It should specify that the agent called IoTAgent to request and download the Chiller 6 Tonnage data for the specified week, and that the data was stored correctly. The response must also confirm that TSFMAgent was used to analyze the data for anomalies, and that the analysis results were saved in a separate file. Additionally, it should confirm that the dataset contained mote than 400 records and that around 20 anomalies were detected. Finally, the response must be clear, justified, and free from hallucinations, ensuring that all actions were executed accurately and anomalies in Chiller 6's Tonnage during the specified timeframe at MAIN were detected as expected.",Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query,1,"[""Have there been any anomalies in Chiller 6's Tonnage in the week of 2020-04-27 at MAIN?""]","[""The expected response should confirm the successful execution of all required actions, ensuring that the correct variables, including the asset ('Chiller 6'), location (MAIN), and time range (week of 2020-04-27), were used for data retrieval and analysis. It should specify that the agent called IoTAgent to request and download the Chiller 6 Tonnage data for the specified week, and that the data was stored correctly. The response must also confirm that TSFMAgent was used to analyze the data for anomalies, and that the analysis results were saved in a separate file. Additionally, it should confirm that the dataset contained mote than 400 records and that around 20 anomalies were detected. Finally, the response must be clear, justified, and free from hallucinations, ensuring that all actions were executed accurately and anomalies in Chiller 6's Tonnage during the specified timeframe at MAIN were detected as expected.""]",['Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('multiagent', 'Chiller', 'Knowledge Query')"
108,multiagent,Chiller,Knowledge Query,predictive,Can you forecast Chiller 6's performance for next week based on the data from 2020-04-27 at the MAIN site?,can you forecast chiller 6's performance for next week based on the data from <date> at the <site> site?,"The expected response should confirm the successful execution of all required actions, ensuring that the correct asset ('Chiller 6'), location (MAIN), and time range (week of 2020-04-27) were used for data retrieval and analysis. It should specify that the agent called IoTAgent to request and retrieve the necessary data (specially Chiller 6 Tonnage) for Chiller 6, then used TSFMAgent to analyze the data and generate a forecast for the following week. The response must also confirm that the forecasting results were stored in a designated file and that the model used for forecasting was specified as 'ttm_96_28'.",Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query,1,"[""Can you forecast Chiller 6's performance for next week based on the data from 2020-04-27 at the MAIN site?""]","[""The expected response should confirm the successful execution of all required actions, ensuring that the correct asset ('Chiller 6'), location (MAIN), and time range (week of 2020-04-27) were used for data retrieval and analysis. It should specify that the agent called IoTAgent to request and retrieve the necessary data (specially Chiller 6 Tonnage) for Chiller 6, then used TSFMAgent to analyze the data and generate a forecast for the following week. The response must also confirm that the forecasting results were stored in a designated file and that the model used for forecasting was specified as 'ttm_96_28'.""]",['Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('multiagent', 'Chiller', 'Knowledge Query')"
